timestamp,raw,mrem/h,tail,dt_s
2026-03-11 16:08:05.691,J33J40,3,40,1.000
2026-03-11 16:08:06.692,J31J40,1,40,1.000
2026-03-11 16:08:07.692,J30J40,0,40,1.000
2026-03-11 16:08:08.692,J34J40,4,40,1.000
2026-03-11 16:08:09.692,J31J40,1,40,1.000
2026-03-11 16:08:10.693,J32J40,2,40,1.000
2026-03-11 16:08:11.693,J31J40,1,40,1.000
2026-03-11 16:08:12.693,J31J40,1,40,1.000
2026-03-11 16:08:13.694,J33J40,3,40,1.001
2026-03-11 16:08:14.694,J30J40,0,40,1.000
2026-03-11 16:08:15.694,J33J40,3,40,1.000
2026-03-11 16:08:16.695,J32J40,2,40,1.000
2026-03-11 16:08:17.695,J31J40,1,40,1.000
2026-03-11 16:08:18.695,J33J40,3,40,1.000
2026-03-11 16:08:19.695,J31J40,1,40,1.000
2026-03-11 16:08:20.696,J31J40,1,40,1.000
2026-03-11 16:08:21.696,J32J40,2,40,1.000
2026-03-11 16:08:22.698,J31J40,1,40,1.002
2026-03-11 16:08:23.697,J32J40,2,40,1.000
2026-03-11 16:08:24.697,J31J40,1,40,1.000
2026-03-11 16:08:25.697,J30J40,0,40,1.000
2026-03-11 16:08:26.698,J31J40,1,40,1.000
2026-03-11 16:08:27.698,J30J40,0,40,1.001
2026-03-11 16:08:28.698,J31J40,1,40,1.000
2026-03-11 16:08:29.698,J32J40,2,40,1.000
2026-03-11 16:08:30.699,J31J40,1,40,1.001
2026-03-11 16:08:31.699,J31J40,1,40,1.000
2026-03-11 16:08:32.699,J31J40,1,40,1.000
2026-03-11 16:08:33.699,J32J40,2,40,1.000
2026-03-11 16:08:34.700,J32J40,2,40,1.000
2026-03-11 16:08:35.700,J33J40,3,40,1.000
2026-03-11 16:08:36.700,J30J40,0,40,1.000
2026-03-11 16:08:37.700,J33J40,3,40,1.000
2026-03-11 16:08:38.701,J32J40,2,40,1.000
2026-03-11 16:08:39.701,J34J40,4,40,1.000
2026-03-11 16:08:40.701,J34J40,4,40,1.000
2026-03-11 16:08:41.703,J33J40,3,40,1.002
2026-03-11 16:08:42.702,J30J40,0,40,0.998
2026-03-11 16:08:43.703,J34J40,4,40,1.001
2026-03-11 16:08:44.702,J30J40,0,40,1.000
2026-03-11 16:08:45.704,J30J40,0,40,1.002
2026-03-11 16:08:46.704,J32J40,2,40,1.000
2026-03-11 16:08:47.703,J31J40,1,40,1.000
2026-03-11 16:08:48.704,J30J40,0,40,1.001
2026-03-11 16:08:49.706,J31J40,1,40,1.002
2026-03-11 16:08:50.705,J31J40,1,40,0.999
2026-03-11 16:08:51.704,J33J40,3,40,0.999
2026-03-11 16:08:52.707,J31J40,1,40,1.003
2026-03-11 16:08:53.705,J32J40,2,40,0.998
2026-03-11 16:08:54.707,J32J40,2,40,1.002
2026-03-11 16:08:55.705,J30J40,0,40,0.998
2026-03-11 16:08:56.706,J31J40,1,40,1.001
2026-03-11 16:08:57.706,J31J40,1,40,0.999
2026-03-11 16:08:58.707,J32J40,2,40,1.001
2026-03-11 16:08:59.706,J33J40,3,40,0.999
2026-03-11 16:09:00.707,J33J40,3,40,1.000
2026-03-11 16:09:01.707,J31J40,1,40,1.000
2026-03-11 16:09:02.707,J33J40,3,40,1.000
2026-03-11 16:09:03.707,J31J40,1,40,1.000
2026-03-11 16:09:04.707,J31J40,1,40,1.000
2026-03-11 16:09:05.708,J31J40,1,40,1.000
2026-03-11 16:09:06.709,J32J40,2,40,1.001
2026-03-11 16:09:07.710,J30J40,0,40,1.001
2026-03-11 16:09:08.709,J32J40,2,40,0.999
2026-03-11 16:09:09.709,J34J40,4,40,1.000
2026-03-11 16:09:10.709,J31J40,1,40,1.000
2026-03-11 16:09:11.711,J31J40,1,40,1.002
2026-03-11 16:09:12.710,J31J40,1,40,0.999
2026-03-11 16:09:13.710,J31J40,1,40,1.000
2026-03-11 16:09:14.711,J33J40,3,40,1.001
2026-03-11 16:09:15.711,J31J40,1,40,1.000
2026-03-11 16:09:16.714,J30J40,0,40,1.003
2026-03-11 16:09:17.711,J31J40,1,40,0.997
2026-03-11 16:09:18.712,J31J40,1,40,1.001
2026-03-11 16:09:19.712,J31J40,1,40,1.000
2026-03-11 16:09:20.714,J33J40,3,40,1.001
2026-03-11 16:09:21.714,J32J40,2,40,1.000
2026-03-11 16:09:22.713,J32J40,2,40,1.000
2026-03-11 16:09:23.714,J30J40,0,40,1.000
2026-03-11 16:09:24.716,J31J40,1,40,1.002
2026-03-11 16:09:25.715,J32J40,2,40,1.000
2026-03-11 16:09:26.716,J31J40,1,40,1.001
2026-03-11 16:09:27.717,J32J40,2,40,1.001
2026-03-11 16:09:28.716,J30J40,0,40,0.999
2026-03-11 16:09:29.717,J30J40,0,40,1.000
2026-03-11 16:09:30.717,J33J40,3,40,1.000
2026-03-11 16:09:31.717,J31J40,1,40,1.000
2026-03-11 16:09:32.718,J30J40,0,40,1.000
2026-03-11 16:09:33.718,J31J40,1,40,1.000
2026-03-11 16:09:34.718,J32J40,2,40,1.000
2026-03-11 16:09:35.719,J31J40,1,40,1.001
2026-03-11 16:09:36.720,J34J40,4,40,1.001
2026-03-11 16:09:37.720,J34J40,4,40,1.000
2026-03-11 16:09:38.720,J33J40,3,40,1.000
2026-03-11 16:09:39.722,J31J40,1,40,1.002
2026-03-11 16:09:40.720,J33J40,3,40,0.998
2026-03-11 16:09:41.720,J32J40,2,40,1.000
2026-03-11 16:09:42.720,J30J40,0,40,1.000
2026-03-11 16:09:43.721,J32J40,2,40,1.000
2026-03-11 16:09:44.721,J31J40,1,40,1.001
2026-03-11 16:09:45.721,J33J40,3,40,1.000
2026-03-11 16:09:46.721,J31J40,1,40,1.000
2026-03-11 16:09:47.722,J30J40,0,40,1.000
2026-03-11 16:09:48.722,J31J40,1,40,1.000
2026-03-11 16:09:49.722,J30J40,0,40,1.000
2026-03-11 16:09:50.722,J31J40,1,40,1.000
2026-03-11 16:09:51.723,J33J40,3,40,1.001
2026-03-11 16:09:52.723,J31J40,1,40,1.000
2026-03-11 16:09:53.723,J32J40,2,40,1.000
2026-03-11 16:09:54.723,J31J40,1,40,1.000
2026-03-11 16:09:55.724,J31J40,1,40,1.000
2026-03-11 16:09:56.725,J32J40,2,40,1.001
2026-03-11 16:09:57.724,J31J40,1,40,0.999
2026-03-11 16:09:58.725,J34J40,4,40,1.000
2026-03-11 16:09:59.725,J31J40,1,40,1.000
2026-03-11 16:10:00.725,J32J40,2,40,1.000
2026-03-11 16:10:01.725,J31J40,1,40,1.000
2026-03-11 16:10:02.726,J32J40,2,40,1.000
2026-03-11 16:10:03.726,J32J40,2,40,1.001
2026-03-11 16:10:04.727,J30J40,0,40,1.001
2026-03-11 16:10:05.726,J30J40,0,40,1.000
2026-03-11 16:10:06.727,J31J40,1,40,1.000
2026-03-11 16:10:07.727,J35J40,5,40,1.000
2026-03-11 16:10:08.728,J33J40,3,40,1.001
2026-03-11 16:10:09.727,J33J40,3,40,0.999
2026-03-11 16:10:10.728,J31J40,1,40,1.001
2026-03-11 16:10:11.728,J30J40,0,40,1.000
2026-03-11 16:10:12.728,J31J40,1,40,1.000
2026-03-11 16:10:13.728,J30J40,0,40,1.000
2026-03-11 16:10:14.729,J31J40,1,40,1.000
2026-03-11 16:10:15.729,J32J40,2,40,1.000
2026-03-11 16:10:16.729,J30J40,0,40,1.000
2026-03-11 16:10:17.730,J30J40,0,40,1.000
2026-03-11 16:10:18.730,J31J40,1,40,1.000
2026-03-11 16:10:19.730,J32J40,2,40,1.001
2026-03-11 16:10:20.730,J33J40,3,40,1.000
2026-03-11 16:10:21.731,J30J40,0,40,1.000
2026-03-11 16:10:22.731,J30J40,0,40,1.000
2026-03-11 16:10:23.731,J30J40,0,40,1.000
2026-03-11 16:10:24.731,J33J40,3,40,1.000
2026-03-11 16:10:25.732,J34J40,4,40,1.000
2026-03-11 16:10:26.732,J31J40,1,40,1.001
2026-03-11 16:10:27.732,J30J40,0,40,1.000
2026-03-11 16:10:28.732,J35J40,5,40,1.000
2026-03-11 16:10:29.733,J31J40,1,40,1.000
2026-03-11 16:10:30.733,J32J40,2,40,1.000
2026-03-11 16:10:31.733,J33J40,3,40,1.000
2026-03-11 16:10:32.733,J33J40,3,40,1.000
2026-03-11 16:10:33.735,J33J40,3,40,1.002
2026-03-11 16:10:34.734,J31J40,1,40,0.999
2026-03-11 16:10:35.734,J31J40,1,40,1.000
2026-03-11 16:10:36.735,J30J40,0,40,1.000
2026-03-11 16:10:37.735,J32J40,2,40,1.000
2026-03-11 16:10:38.735,J30J40,0,40,1.000
2026-03-11 16:10:39.735,J32J40,2,40,1.000
2026-03-11 16:10:40.736,J33J40,3,40,1.000
2026-03-11 16:10:41.736,J32J40,2,40,1.000
