timestamp,raw,mrem/h,tail,dt_s
2026-03-13 13:54:35.866,J315J40,21,40,1.000
2026-03-13 13:54:36.867,J318J40,24,40,1.001
2026-03-13 13:54:37.867,J320J40,32,40,1.000
2026-03-13 13:54:38.867,J315J40,21,40,1.000
2026-03-13 13:54:39.867,J323J40,35,40,1.000
2026-03-13 13:54:40.869,J319J40,25,40,1.001
2026-03-13 13:54:41.868,J320J40,32,40,1.000
2026-03-13 13:54:42.868,J310J40,16,40,1.000
2026-03-13 13:54:43.868,J310J40,16,40,1.000
2026-03-13 13:54:44.869,J323J40,35,40,1.001
2026-03-13 13:54:45.870,J312J40,18,40,1.000
2026-03-13 13:54:46.868,J35J40,5,40,0.998
2026-03-13 13:54:47.870,J315J40,21,40,1.003
2026-03-13 13:54:48.870,J326J40,38,40,0.999
2026-03-13 13:54:49.870,J314J40,20,40,1.000
2026-03-13 13:54:50.870,J310J40,16,40,1.001
2026-03-13 13:54:51.870,J319J40,25,40,1.000
2026-03-13 13:54:52.872,J314J40,20,40,1.002
2026-03-13 13:54:53.871,J319J40,25,40,0.999
2026-03-13 13:54:54.871,J315J40,21,40,1.000
2026-03-13 13:54:55.872,J322J40,34,40,1.001
2026-03-13 13:54:56.872,J317J40,23,40,1.001
2026-03-13 13:54:57.873,J312J40,18,40,1.000
2026-03-13 13:54:58.874,J317J40,23,40,1.001
2026-03-13 13:54:59.873,J323J40,35,40,0.999
2026-03-13 13:55:00.874,J318J40,24,40,1.001
2026-03-13 13:55:01.874,J315J40,21,40,1.000
2026-03-13 13:55:02.876,J317J40,23,40,1.002
2026-03-13 13:55:03.874,J314J40,20,40,0.999
2026-03-13 13:55:04.875,J316J40,22,40,1.001
2026-03-13 13:55:05.875,J320J40,32,40,1.000
2026-03-13 13:55:06.874,J315J40,21,40,1.000
2026-03-13 13:55:07.876,J319J40,25,40,1.001
2026-03-13 13:55:08.875,J313J40,19,40,0.999
2026-03-13 13:55:09.875,J313J40,19,40,1.000
2026-03-13 13:55:10.875,J325J40,37,40,1.000
2026-03-13 13:55:11.877,J325J40,37,40,1.001
2026-03-13 13:55:12.876,J318J40,24,40,0.999
2026-03-13 13:55:13.876,J313J40,19,40,1.000
2026-03-13 13:55:14.876,J320J40,32,40,1.000
2026-03-13 13:55:15.876,J315J40,21,40,1.000
2026-03-13 13:55:16.877,J319J40,25,40,1.001
2026-03-13 13:55:17.878,J312J40,18,40,1.001
2026-03-13 13:55:18.878,J310J40,16,40,0.999
2026-03-13 13:55:19.878,J314J40,20,40,1.000
2026-03-13 13:55:20.877,J38J40,8,40,0.999
2026-03-13 13:55:21.879,J311J40,17,40,1.002
2026-03-13 13:55:22.878,J324J40,36,40,0.999
2026-03-13 13:55:23.879,J314J40,20,40,1.000
2026-03-13 13:55:24.879,J311J40,17,40,1.000
2026-03-13 13:55:25.880,J319J40,25,40,1.001
2026-03-13 13:55:26.879,J318J40,24,40,0.999
2026-03-13 13:55:27.880,J323J40,35,40,1.001
2026-03-13 13:55:28.880,J311J40,17,40,1.000
2026-03-13 13:55:29.880,J313J40,19,40,1.000
2026-03-13 13:55:30.881,J315J40,21,40,1.000
2026-03-13 13:55:31.881,J316J40,22,40,1.000
2026-03-13 13:55:32.881,J316J40,22,40,1.000
2026-03-13 13:55:33.882,J39J40,9,40,1.001
2026-03-13 13:55:34.882,J314J40,20,40,1.000
2026-03-13 13:55:35.882,J314J40,20,40,1.000
2026-03-13 13:55:36.882,J316J40,22,40,1.000
2026-03-13 13:55:37.882,J314J40,20,40,1.000
2026-03-13 13:55:38.883,J314J40,20,40,1.001
2026-03-13 13:55:39.883,J323J40,35,40,0.999
2026-03-13 13:55:40.884,J316J40,22,40,1.001
2026-03-13 13:55:41.883,J317J40,23,40,1.000
2026-03-13 13:55:42.884,J320J40,32,40,1.001
2026-03-13 13:55:43.884,J312J40,18,40,1.000
2026-03-13 13:55:44.884,J313J40,19,40,1.000
2026-03-13 13:55:45.884,J319J40,25,40,1.000
2026-03-13 13:55:46.885,J321J40,33,40,1.000
2026-03-13 13:55:47.887,J322J40,34,40,1.002
2026-03-13 13:55:48.885,J315J40,21,40,0.998
2026-03-13 13:55:49.887,J315J40,21,40,1.002
2026-03-13 13:55:50.888,J320J40,32,40,1.001
2026-03-13 13:55:51.887,J318J40,24,40,0.999
2026-03-13 13:55:52.888,J319J40,25,40,1.001
2026-03-13 13:55:53.888,J312J40,18,40,1.000
2026-03-13 13:55:54.888,J317J40,23,40,1.000
2026-03-13 13:55:55.891,J318J40,24,40,1.003
2026-03-13 13:55:56.888,J313J40,19,40,0.997
2026-03-13 13:55:57.890,J318J40,24,40,1.001
2026-03-13 13:55:58.890,J317J40,23,40,1.000
2026-03-13 13:55:59.890,J316J40,22,40,1.000
2026-03-13 13:56:00.889,J312J40,18,40,1.000
2026-03-13 13:56:01.891,J317J40,23,40,1.001
2026-03-13 13:56:02.890,J38J40,8,40,0.999
2026-03-13 13:56:03.891,J311J40,17,40,1.001
2026-03-13 13:56:04.892,J316J40,22,40,1.001
2026-03-13 13:56:05.893,J316J40,22,40,1.000
2026-03-13 13:56:06.894,J321J40,33,40,1.001
2026-03-13 13:56:07.893,J318J40,24,40,0.999
2026-03-13 13:56:08.894,J315J40,21,40,1.001
2026-03-13 13:56:09.893,J322J40,34,40,0.999
2026-03-13 13:56:10.894,J314J40,20,40,1.001
2026-03-13 13:56:11.894,J317J40,23,40,1.000
2026-03-13 13:56:12.894,J38J40,8,40,1.000
2026-03-13 13:56:13.895,J317J40,23,40,1.002
2026-03-13 13:56:14.895,J316J40,22,40,0.999
2026-03-13 13:56:15.895,J315J40,21,40,1.000
2026-03-13 13:56:16.897,J321J40,33,40,1.002
2026-03-13 13:56:17.896,J316J40,22,40,1.000
2026-03-13 13:56:18.897,J313J40,19,40,1.000
2026-03-13 13:56:19.897,J38J40,8,40,1.001
2026-03-13 13:56:20.899,J319J40,25,40,1.001
2026-03-13 13:56:21.899,J313J40,19,40,1.000
2026-03-13 13:56:22.900,J318J40,24,40,1.000
2026-03-13 13:56:23.900,J38J40,8,40,1.000
2026-03-13 13:56:24.900,J323J40,35,40,1.000
2026-03-13 13:56:25.901,J324J40,36,40,1.001
2026-03-13 13:56:26.901,J315J40,21,40,1.000
2026-03-13 13:56:27.902,J318J40,24,40,1.000
2026-03-13 13:56:28.901,J320J40,32,40,0.999
2026-03-13 13:56:29.902,J316J40,22,40,1.001
2026-03-13 13:56:30.902,J315J40,21,40,1.000
2026-03-13 13:56:31.904,J326J40,38,40,1.002
2026-03-13 13:56:32.904,J312J40,18,40,1.000
2026-03-13 13:56:33.903,J313J40,19,40,0.998
2026-03-13 13:56:34.905,J324J40,36,40,1.002
2026-03-13 13:56:35.904,J319J40,25,40,0.999
2026-03-13 13:56:36.906,J324J40,36,40,1.002
2026-03-13 13:56:37.904,J318J40,24,40,0.999
2026-03-13 13:56:38.905,J320J40,32,40,1.000
2026-03-13 13:56:39.906,J320J40,32,40,1.001
2026-03-13 13:56:40.906,J323J40,35,40,1.000
2026-03-13 13:56:41.907,J318J40,24,40,1.000
2026-03-13 13:56:42.907,J311J40,17,40,1.000
2026-03-13 13:56:43.906,J326J40,38,40,1.000
2026-03-13 13:56:44.906,J314J40,20,40,1.000
2026-03-13 13:56:45.909,J312J40,18,40,1.002
2026-03-13 13:56:46.907,J319J40,25,40,0.998
2026-03-13 13:56:47.907,J326J40,38,40,1.000
2026-03-13 13:56:48.907,J313J40,19,40,1.000
2026-03-13 13:56:49.908,J316J40,22,40,1.001
2026-03-13 13:56:50.909,J322J40,34,40,1.000
2026-03-13 13:56:51.910,J314J40,20,40,1.002
2026-03-13 13:56:52.909,J314J40,20,40,0.999
2026-03-13 13:56:53.910,J321J40,33,40,1.001
2026-03-13 13:56:54.909,J317J40,23,40,1.000
2026-03-13 13:56:55.910,J314J40,20,40,1.001
2026-03-13 13:56:56.910,J322J40,34,40,1.000
2026-03-13 13:56:57.911,J318J40,24,40,1.001
2026-03-13 13:56:58.911,J312J40,18,40,1.000
2026-03-13 13:56:59.911,J39J40,9,40,1.000
2026-03-13 13:57:00.911,J314J40,20,40,1.001
2026-03-13 13:57:01.911,J312J40,18,40,1.000
2026-03-13 13:57:02.912,J321J40,33,40,1.001
2026-03-13 13:57:03.912,J317J40,23,40,1.000
2026-03-13 13:57:04.913,J321J40,33,40,1.001
2026-03-13 13:57:05.913,J319J40,25,40,1.000
2026-03-13 13:57:06.913,J318J40,24,40,0.999
2026-03-13 13:57:07.913,J317J40,23,40,1.001
2026-03-13 13:57:08.913,J321J40,33,40,1.000
2026-03-13 13:57:09.914,J316J40,22,40,1.000
2026-03-13 13:57:10.913,J39J40,9,40,0.999
2026-03-13 13:57:11.914,J320J40,32,40,1.001
2026-03-13 13:57:12.914,J314J40,20,40,1.000
2026-03-13 13:57:13.913,J39J40,9,40,0.999
2026-03-13 13:57:14.915,J315J40,21,40,1.001
2026-03-13 13:57:15.915,J324J40,36,40,1.000
2026-03-13 13:57:16.915,J320J40,32,40,1.000
2026-03-13 13:57:17.916,J320J40,32,40,1.001
2026-03-13 13:57:18.916,J319J40,25,40,1.000
2026-03-13 13:57:19.916,J311J40,17,40,1.000
2026-03-13 13:57:20.917,J311J40,17,40,1.001
2026-03-13 13:57:21.917,J311J40,17,40,1.000
2026-03-13 13:57:22.916,J38J40,8,40,0.999
2026-03-13 13:57:23.916,J38J40,8,40,1.000
