timestamp,raw,dec_val,tail,dt_s
2026-03-16 13:01:51.014,J34J40,4,40,1.000
2026-03-16 13:01:52.014,J34J40,4,40,1.001
2026-03-16 13:01:53.014,J34J40,4,40,1.000
2026-03-16 13:01:54.015,J37J40,7,40,1.000
2026-03-16 13:01:55.016,J35J40,5,40,1.001
2026-03-16 13:01:56.016,J34J40,4,40,1.000
2026-03-16 13:01:57.017,J38J40,8,40,1.001
2026-03-16 13:01:58.016,J35J40,5,40,0.999
2026-03-16 13:01:59.017,J32J40,2,40,1.001
2026-03-16 13:02:00.017,J38J40,8,40,0.999
2026-03-16 13:02:01.017,J38J40,8,40,1.000
2026-03-16 13:02:02.018,J36J40,6,40,1.001
2026-03-16 13:02:03.017,J34J40,4,40,1.000
2026-03-16 13:02:04.018,J34J40,4,40,1.000
2026-03-16 13:02:05.018,J34J40,4,40,1.000
2026-03-16 13:02:06.018,J35J40,5,40,1.000
2026-03-16 13:02:07.019,J31J40,1,40,1.001
2026-03-16 13:02:08.019,J33J40,3,40,0.999
2026-03-16 13:02:09.019,J34J40,4,40,1.000
2026-03-16 13:02:10.019,J37J40,7,40,1.000
2026-03-16 13:02:11.020,J310J40,16,40,1.001
2026-03-16 13:02:12.020,J31J40,1,40,1.000
2026-03-16 13:02:13.020,J35J40,5,40,1.000
2026-03-16 13:02:14.020,J37J40,7,40,1.000
2026-03-16 13:02:15.021,J34J40,4,40,1.001
2026-03-16 13:02:16.021,J34J40,4,40,0.999
2026-03-16 13:02:17.021,J32J40,2,40,1.000
2026-03-16 13:02:18.021,J35J40,5,40,1.000
2026-03-16 13:02:19.022,J35J40,5,40,1.001
2026-03-16 13:02:20.022,J39J40,9,40,1.000
2026-03-16 13:02:21.022,J38J40,8,40,1.000
2026-03-16 13:02:22.022,J37J40,7,40,1.000
2026-03-16 13:02:23.022,J36J40,6,40,1.000
2026-03-16 13:02:24.023,J33J40,3,40,1.001
2026-03-16 13:02:25.023,J32J40,2,40,0.999
2026-03-16 13:02:26.024,J36J40,6,40,1.001
2026-03-16 13:02:27.024,J33J40,3,40,1.000
2026-03-16 13:02:28.024,J31J40,1,40,1.000
2026-03-16 13:02:29.025,J34J40,4,40,1.001
2026-03-16 13:02:30.024,J33J40,3,40,0.999
2026-03-16 13:02:31.024,J34J40,4,40,1.000
2026-03-16 13:02:32.025,J33J40,3,40,1.000
2026-03-16 13:02:33.025,J37J40,7,40,1.000
2026-03-16 13:02:34.025,J36J40,6,40,1.000
2026-03-16 13:02:35.025,J31J40,1,40,1.000
2026-03-16 13:02:36.026,J32J40,2,40,1.000
2026-03-16 13:02:37.027,J33J40,3,40,1.001
2026-03-16 13:02:38.027,J34J40,4,40,1.000
