position,measured_point_id,simulated_point_id,measured_distance_cm,simulated_distance_cm,distance_difference_cm,measured_height_cm,simulated_height_cm,height_difference_cm,measured_geometry_x_cm,measured_geometry_y_cm,measured_geometry_z_cm,simulated_geometry_x_cm,simulated_geometry_y_cm,simulated_geometry_z_cm,geometry_separation_cm,match_score,exact_distance_height_match,measured_neutron_dose_rate_uSv_h,measured_neutron_dose_rate_uncertainty_uSv_h,measured_gamma_dose_rate_uSv_h,measured_gamma_dose_rate_uncertainty_uSv_h,measured_total_dose_rate_uSv_h,measured_total_dose_rate_uncertainty_uSv_h,simulated_neutron_dose_rate_uSv_h,simulated_neutron_dose_rate_uncertainty_uSv_h,simulated_gamma_dose_rate_uSv_h,simulated_gamma_dose_rate_uncertainty_uSv_h,simulated_total_dose_rate_uSv_h,simulated_total_dose_rate_uncertainty_uSv_h,neutron_residual_uSv_h,neutron_residual_uncertainty_uSv_h,neutron_pull,neutron_simulation_to_measurement_ratio,neutron_relative_difference_percent,neutron_log10_ratio,neutron_agreement_class,gamma_residual_uSv_h,gamma_residual_uncertainty_uSv_h,gamma_pull,gamma_simulation_to_measurement_ratio,gamma_relative_difference_percent,gamma_log10_ratio,gamma_agreement_class,total_residual_uSv_h,total_residual_uncertainty_uSv_h,total_pull,total_simulation_to_measurement_ratio,total_relative_difference_percent,total_log10_ratio,total_agreement_class,total_absolute_log10_ratio,model_bias_direction
P1,P1_x0_h42,P1_x0_h42,0.0,0.0,0.0,42.0,42.0,0.0,0.0,-34.5,1.0,0.0,-34.5,1.0,0.0,0.0,True,541.6,3.762053157806141,33.293,0.291124877828773,574.893,3.7733006316287567,226.74618388667764,5.892058354441883,1.53070118732892,0.0227616458035635,228.27688507400657,5.892102319602748,-314.8538161133224,6.990664890717302,-45.03918025471476,0.418659866851325,-58.1340133148675,-0.37813866901178805,within factor 10,-31.76229881267108,0.2920133336176704,-108.77002915989131,0.04597666738740636,-95.40233326125936,-1.3374625117033954,outside factor 10,-346.61611492599343,6.996761207967445,-49.53950901329748,0.39707716927151065,-60.29228307284894,-0.4011250828289498,within factor 10,0.4011250828289498,simulation low
P1,P1_x4_h42,P1_x4_h42,4.0,4.0,0.0,42.0,42.0,0.0,0.0,-38.5,1.0,0.0,-38.5,1.0,0.0,0.0,True,470.48333333333335,3.5345340301955304,33.293,0.291124877828773,503.77633333333335,3.5465031376133136,176.21590704455127,5.434887955450116,1.2456788475270475,0.0220269767855957,177.46158589207832,5.434932591670577,-294.2674262887821,6.48312716973121,-45.38973532135455,0.3745422941894178,-62.54577058105822,-0.42649913364954684,within factor 10,-32.04732115247295,0.2919569868955548,-109.76726912152171,0.037415638348212765,-96.25843616517874,-1.426946840879503,outside factor 10,-326.314747441255,6.4896977418909225,-50.28196387867145,0.3522626494140157,-64.77373505859843,-0.4531334028401227,within factor 10,0.4531334028401227,simulation low
P1,P1_x57_h42,P1_x57_h42,57.0,57.0,0.0,42.0,42.0,0.0,0.0,-91.5,1.0,0.0,-91.5,1.0,0.0,0.0,True,86.23333333333333,1.9508765015927336,6.927,0.122898325173905,93.16033333333334,1.9547437486272348,29.67203861986468,2.0518866157878737,0.2135061776535056,0.0092087188549877,29.885544797518182,2.0519072797162066,-56.561294713468655,2.831282007945538,-19.97727338878235,0.34409012701814473,-65.59098729818552,-0.4633277884167153,within factor 10,-6.713493822346494,0.12324284495864699,-54.47370047810196,0.03082231523798262,-96.91776847620174,-1.5111347420836931,outside factor 10,-63.27478853581516,2.833963056807484,-22.327315941477192,0.3207968856292719,-67.92031143707281,-0.49376985659918105,within factor 10,0.49376985659918105,simulation low
P1,P1_x114_h42,P1_x114_h42,114.0,114.0,0.0,42.0,42.0,0.0,0.0,-148.5,1.0,0.0,-148.5,1.0,0.0,0.0,True,29.782861896838604,0.7086974473438605,1.235,0.0613147957154119,31.017861896838603,0.7113449065294041,7.403270096286445,1.02705430551522,0.0798148090528156,0.0058390636322595,7.48308490533926,1.027070903658288,-22.37959180055216,1.2478351727488108,-17.934733921029785,0.24857483884288126,-75.14251611571187,-0.6045428334768304,within factor 10,-1.1551851909471844,0.06159219786404987,-18.75538186666079,0.06462737575126769,-93.53726242487322,-1.189583478610554,outside factor 10,-23.534776991499342,1.2493543201137052,-18.83755201595446,0.241250829287558,-75.8749170712442,-0.6175311851162264,within factor 10,0.6175311851162264,simulation low
P1,P1_x176_h42,P1_x176_h42,176.0,176.0,0.0,42.0,42.0,0.0,0.0,-210.5,1.0,0.0,-210.5,1.0,0.0,0.0,True,17.45341098169717,0.5371472043103358,0.891,0.0491716865475436,18.344410981697173,0.5393931533272734,5.320104476978317,0.9491886679612872,0.0363225380031625,0.0039302134753466,5.356427014981479,0.949196804653326,-12.133306504718854,1.0906357075048168,-11.124985566883494,0.30481746419409583,-69.51825358059043,-0.5159601541767722,within factor 10,-0.8546774619968375,0.04932850429408616,-17.326239143628406,0.04076603591825196,-95.9233964081748,-1.3897015172093414,outside factor 10,-12.987983966715694,1.0917506802472916,-11.896474352343702,0.2919923141890881,-70.80076858109119,-0.5346285798844506,within factor 10,0.5346285798844506,simulation low
P1,P1_x199_h42,P1_x199_h42,199.0,199.0,0.0,42.0,42.0,0.0,0.0,-233.5,1.0,0.0,-233.5,1.0,0.0,0.0,True,13.466666666666669,0.5195384850352843,0.7259999999999999,0.0476769176940092,14.192666666666668,0.5217215022534145,2.309717988956208,0.5733099129542051,0.0286425648052267,0.0033946400654001,2.3383605537614347,0.5733199629114024,-11.15694867771046,0.7736953494265792,-14.420338297211405,0.17151371205120355,-82.84862879487964,-0.7657011535796874,within factor 10,-0.6973574351947731,0.04779761565156725,-14.589795446666955,0.03945256860224064,-96.05474313977592,-1.40392471632111,outside factor 10,-11.854306112905233,0.7751703721029923,-15.292517025315592,0.1647583649134366,-83.52416350865634,-0.7831525266973846,within factor 10,0.7831525266973846,simulation low
P1,P1_x320_h42,P1_x320_h42,320.0,320.0,0.0,42.0,42.0,0.0,0.0,-354.5,1.0,0.0,-354.5,1.0,0.0,0.0,True,4.25,0.3049056341606446,0.1369999999999999,0.029325614277532,4.387,0.3063126464833919,0.998648420820036,0.3463426306294949,0.0164260959596201,0.0025895972109563,1.0150745167796562,0.3463523116785475,-3.251351579179964,0.46143327094420006,-7.046201008711272,0.23497609901647906,-76.5023900983521,-0.6289763104650726,within factor 10,-0.12057390404037979,0.02943972938852498,-4.0956186264190695,0.1198985106541614,-88.01014893458385,-0.9211862115524991,within factor 10,-3.3719254832203434,0.4623714537044141,-7.292676604935814,0.23138238358323598,-76.8617616416764,-0.6356697093593323,within factor 10,0.6356697093593323,simulation low
P1,P1_x420_h42,P1_x420_h42,420.0,420.0,0.0,42.0,42.0,0.0,0.0,-454.5,1.0,0.0,-454.5,1.0,0.0,0.0,True,1.65,0.2147619717443303,0.0619999999999999,0.0237565560760461,1.7119999999999995,0.2160719289128202,0.6555982140028118,0.3372983623152664,0.0077716187790338,0.0018512238391239,0.6633698327818456,0.3373034423931415,-0.9944017859971881,0.39986608974514615,-2.486836997433236,0.39733225091079505,-60.26677490892049,-0.4008461824298134,within factor 10,-0.0542283812209661,0.023828574995094935,-2.275771053540923,0.12534868998441634,-87.46513100155836,-0.9018802004812903,within factor 10,-1.048630167218154,0.4005754494653537,-2.6178093755315164,0.3874823789613585,-61.25176210386415,-0.41174804256115793,within factor 10,0.41174804256115793,simulation low
P2,P2_x2_h55,P2_x2_h55,2.0,2.0,0.0,55.0,55.0,0.0,44.62132034355964,-35.62132034355964,14.0,44.62132034355964,-35.62132034355964,14.0,0.0,0.0,True,42.266666666666666,1.0212779828401737,3.429,0.0865873004602965,45.69566666666667,1.0249419880340036,20.57234974383784,1.7488902072875028,0.0173051441309481,0.0023194938432991,20.589654887968784,1.7488917454198851,-21.694316922828826,2.025247065268882,-10.711935987893199,0.4867275175986871,-51.32724824013129,-0.3127140998147729,within factor 10,-3.411694855869052,0.08661836209886888,-39.387662998924384,0.005046702867001488,-99.49532971329985,-2.296992264321275,outside factor 10,-25.106011778697884,2.0270985215408026,-12.385195643877605,0.45058221905728735,-54.941778094271264,-0.3462259504676424,within factor 10,0.3462259504676424,simulation low
P2,P2_x57_h55,P2_x57_h55,57.0,57.0,0.0,55.0,55.0,0.0,83.51219330881976,-74.51219330881976,14.0,83.51219330881975,-74.51219330881975,14.0,2.0097183471152322e-14,5.02429586778808e-16,True,25.24043261231281,0.7044657706252192,1.5569999999999995,0.0633064333817071,26.797432612312807,0.707304550027848,9.858101545198537,1.1304314290208064,0.0189239205664718,0.0023158344706821,9.877025465765009,1.130433801161005,-15.382331067114272,1.331971185011375,-11.548546425186299,0.39056785185169723,-60.94321481483027,-0.40830350692118283,within factor 10,-1.5380760794335278,0.06334877739000272,-24.27949114099646,0.01215409156485023,-98.78459084351498,-1.9152774961473829,outside factor 10,-16.9204071465478,1.3334767734375486,-12.688940282723449,0.36858103567827394,-63.1418964321726,-0.4334670139681603,within factor 10,0.4334670139681603,simulation low
