position,neutron_point_id,gamma_point_id,neutron_distance_cm,gamma_distance_cm,distance_difference_cm,neutron_height_cm,gamma_height_cm,height_difference_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,geometry_separation_cm,neutron_dose_rate_uSv_h,neutron_dose_rate_uncertainty_uSv_h,gamma_dose_rate_uSv_h,gamma_dose_rate_uncertainty_uSv_h,total_dose_rate_uSv_h,total_dose_rate_uncertainty_uSv_h,total_relative_uncertainty_percent,neutron_fraction,gamma_fraction,neutron_fraction_percent,gamma_fraction_percent,gamma_to_neutron_dose_ratio,match_score,dominant_component,match_method,height_tolerance_cm,distance_tolerance_cm,log10_total_dose_rate_uSv_h
P1,P1_x0_h42,P1_x6_h50,0.0,6.0,6.0,42.0,50.0,8.0,0.0,-34.5,1.0,10.0,541.6,3.762053157806141,33.293,0.291124877828773,574.893,3.7733006316287567,0.6563483346690178,0.9420883538328002,0.05791164616719981,94.20883538328002,5.79116461671998,0.06147156573116691,0.56,neutron dominated,standard_approx_match,25.0,25.0,2.759587020630874
P1,P1_x4_h42,P1_x6_h50,4.0,6.0,2.0,42.0,50.0,8.0,0.0,-38.5,1.0,8.246211251235321,470.48333333333335,3.5345340301955304,33.293,0.291124877828773,503.77633333333335,3.5465031376133136,0.7039836734979571,0.9339131320844105,0.06608686791558951,93.39131320844105,6.608686791558951,0.07076339934110312,0.4,neutron dominated,standard_approx_match,25.0,25.0,2.7022377611292154
P1,P1_x57_h42,P1_x57_h45,57.0,57.0,0.0,42.0,45.0,3.0,0.0,-91.5,1.0,3.0,86.23333333333333,1.9508765015927336,6.927,0.122898325173905,93.16033333333334,1.9547437486272348,2.0982575723865677,0.9256443192918301,0.07435568070816978,92.56443192918302,7.435568070816977,0.08032856590645535,0.12,neutron dominated,standard_approx_match,25.0,25.0,1.9692310337974683
P1,P1_x114_h42,P1_x114_h38,114.0,114.0,0.0,42.0,38.0,4.0,0.0,-148.5,1.0,4.0,29.782861896838604,0.7086974473438605,1.235,0.0613147957154119,31.017861896838603,0.7113449065294041,2.293339588960855,0.9601842317788554,0.03981576822114465,96.01842317788554,3.9815768221144654,0.041466800748624265,0.16,neutron dominated,standard_approx_match,25.0,25.0,1.4916118580034512
P1,P1_x176_h42,P1_x184_h42,176.0,184.0,8.0,42.0,42.0,0.0,0.0,-210.5,1.0,8.0,17.45341098169717,0.5371472043103358,0.891,0.0491716865475436,18.344410981697173,0.5393931533272734,2.940367798483385,0.9514293481055902,0.048570651894409705,95.14293481055901,4.85706518944097,0.05105019305019305,0.32,neutron dominated,standard_approx_match,25.0,25.0,1.2635037716108843
P1,P1_x199_h42,P1_x203_h42,199.0,203.0,4.0,42.0,42.0,0.0,0.0,-233.5,1.0,4.0,13.466666666666669,0.5195384850352843,0.7259999999999999,0.0476769176940092,14.192666666666668,0.5217215022534145,3.6759934866838355,0.9488468223025976,0.0511531776974024,94.88468223025977,5.11531776974024,0.053910891089108896,0.16,neutron dominated,standard_approx_match,25.0,25.0,1.1520640029142657
P1,P1_x320_h42,P1_x321_h42,320.0,321.0,1.0,42.0,42.0,0.0,0.0,-354.5,1.0,1.0,4.25,0.3049056341606446,0.1369999999999999,0.029325614277532,4.387,0.3063126464833919,6.982280521618234,0.9687713699566903,0.03122863004330976,96.87713699566903,3.122863004330976,0.032235294117647036,0.04,neutron dominated,standard_approx_match,25.0,25.0,0.6421676344049451
P1,P1_x420_h42,P1_x420_h42,420.0,420.0,0.0,42.0,42.0,0.0,0.0,-454.5,1.0,0.0,1.65,0.2147619717443303,0.0619999999999999,0.0237565560760461,1.7119999999999997,0.21607192891282023,12.62102388509464,0.963785046728972,0.036214953271027986,96.37850467289721,3.6214953271027985,0.03757575757575752,0.0,neutron dominated,standard_approx_match,25.0,25.0,0.23350376034113435
P2,P2_x2_h55,P2_x2_h65,2.0,2.0,0.0,55.0,65.0,10.0,44.62132034355964,-35.62132034355964,14.0,10.0,42.266666666666666,1.0212779828401737,3.429,0.0865873004602965,45.69566666666667,1.0249419880340036,2.2429741435015798,0.9249600618585277,0.0750399381414722,92.49600618585278,7.503993814147219,0.08112776025236593,0.4,neutron dominated,standard_approx_match,25.0,25.0,1.6598750177507107
P2,P2_x57_h55,P2_x57_h65,57.0,57.0,0.0,55.0,65.0,10.0,83.51219330881976,-74.51219330881976,14.0,10.0,25.24043261231281,0.7044657706252192,1.5569999999999995,0.0633064333817071,26.797432612312807,0.707304550027848,2.639448936249429,0.9418974189607778,0.058102581039222154,94.18974189607778,5.810258103922216,0.061686739839810135,0.4,neutron dominated,standard_approx_match,25.0,25.0,1.4280931874722071
